file_uuid,submitter_id,sample_id,sample_type,experimental_strategy
e5d7cb03-3191-4e8c-ab87-d7649d55463d,TCGA-56-8503-01A,dd26574c-09d0-4879-9020-bf9562c3b05d,Primary Tumor,RNA-Seq
982536f9-a980-4d9b-88e9-d49927b71cc5,TCGA-43-6143-01A,5489d637-e679-4614-9677-f87fee997e3d,Primary Tumor,RNA-Seq
3f07445c-dac1-45b1-8f1c-2a9569a408e7,TCGA-43-6143-11A,9c551d4b-3bb6-4686-8f59-462fb8c682ba,Solid Tissue Normal,RNA-Seq
c4464413-ff83-49de-a904-5100e48652bb,TCGA-68-7756-01A,46227d4e-2ec4-42cc-9b59-82043699e9ee,Primary Tumor,RNA-Seq
6d033bba-e8c6-47fd-be8d-6bef13827924,TCGA-56-7731-01A,61f8382e-d0f7-43be-b4a4-48c132ebb6a7,Primary Tumor,RNA-Seq
c44327f8-99b2-4346-8fd1-482d9c80aa44,TCGA-18-3412-01A,5cdca8c3-1f5d-461c-b09a-6e34a0af1cbb,Primary Tumor,RNA-Seq
64b0a783-9100-4439-832c-2809cae95407,TCGA-43-A56V-01A,8b9fadc8-a4ae-49e2-b50c-41af103782f6,Primary Tumor,RNA-Seq
3b520006-2aff-4cd3-8518-f149b3e9cc95,TCGA-96-8169-01A,d8934651-75a3-43a9-95a7-f5372c8e9616,Primary Tumor,RNA-Seq
6ab6eb2a-169c-4bea-8f88-3fe75a3981ed,TCGA-77-7138-11A,37159282-62c1-474d-88bd-0c303b16eadf,Solid Tissue Normal,RNA-Seq
d7291cb4-4437-4237-8ed1-7260f76efe7b,TCGA-77-7337-01A,cbf412d6-88f2-4bc0-9bf9-eae76ba6c77f,Primary Tumor,RNA-Seq
e3233bf8-a722-435e-a55c-81d9f7d76fdb,TCGA-66-2758-01A,f4f08354-33f0-4a59-8510-b4406aeab46e,Primary Tumor,RNA-Seq
44efc277-a8c4-4f56-955c-43882e927ae7,TCGA-46-3765-01A,b89028a9-39e2-4f7e-9746-911414712921,Primary Tumor,RNA-Seq
ae3f658c-a208-418c-9d29-1a6f701d2cc6,TCGA-63-5128-01A,9a982d6f-1006-486a-8479-3f011e8a6e49,Primary Tumor,RNA-Seq
2011dc04-811f-487d-bfe5-b10208632ec6,TCGA-46-3766-01A,ca0505aa-b12a-4bca-ba04-317cd551bd2b,Primary Tumor,RNA-Seq
5ba38488-f0e3-4ee9-b610-f59c7bb7cab9,TCGA-77-7138-01A,63dbcf72-c115-4367-8230-8188913ecade,Primary Tumor,RNA-Seq
d43616d5-a9bb-4b1a-a17f-2ae5fe0bc6fb,TCGA-85-8049-01A,577de230-8e3c-433b-b01e-0ab8ad21fcc5,Primary Tumor,RNA-Seq
12199106-8888-4ca5-86df-cc46abffd1c0,TCGA-22-5473-01A,97e9d32a-d9f8-43d3-a459-9cd2bc8cd781,Primary Tumor,RNA-Seq
5fde71d1-1bce-4ff0-b5e8-bc9a014aadee,TCGA-56-A4BX-01A,c26fde0c-b5d2-41d8-9ad4-f177b18ad52e,Primary Tumor,RNA-Seq
5d1cb5a8-d8ea-498c-820b-31de2fd3c66f,TCGA-56-7822-01A,0481655b-0f3f-4917-9d3a-12032bd47c9d,Primary Tumor,RNA-Seq
b5b03243-3074-4db1-b22e-15d14e790f57,TCGA-AA-3525-11A,8660c709-e0af-489a-b20e-1157fe0072f4,Solid Tissue Normal,RNA-Seq
48aab61e-8550-4698-9c0f-9db6c0c92793,TCGA-AZ-6601-11A,3d8a2ec0-3d65-46e1-8b87-fa7e318d249e,Solid Tissue Normal,RNA-Seq
a029427d-6c24-45f8-8e42-464efbf581bf,TCGA-AA-3511-11A,b0a269f6-ecea-4239-89f6-e9128d76ccb0,Solid Tissue Normal,RNA-Seq
85535fab-ba49-4b3e-b372-08c15a997042,TCGA-D5-5538-01A,07a8c609-d838-4571-8d74-81e7083cbd76,Primary Tumor,RNA-Seq
5598442c-f6a5-4bc0-b7cb-4176f5318313,TCGA-F4-6807-01A,0985b9ce-b40a-40e1-b965-c52d69bfe76b,Primary Tumor,RNA-Seq
168e3b1a-1989-40d2-b508-fc2d42f1fba9,TCGA-AD-6965-01A,96319b52-d5b9-44bf-9a98-2876d911988f,Primary Tumor,RNA-Seq
46d62cdb-6b51-4815-a48a-06eef1882f51,TCGA-AZ-6603-11A,e5c26212-ccfc-40cf-a38f-c0c2d78a2036,Solid Tissue Normal,RNA-Seq
89461ef6-f323-41ea-81d6-9a52467532ad,TCGA-5M-AAT6-01A,54cf4c36-eb20-41da-990a-2f6230d62cbf,Primary Tumor,RNA-Seq
ea48ff4f-c11c-487c-ae94-35268e85cfb1,TCGA-3L-AA1B-01A,22996dd0-8d03-49f2-8395-738c0599339b,Primary Tumor,RNA-Seq
00302036-619a-43f8-a0d8-4a4505946558,TCGA-AD-6889-01A,84353925-7847-4e40-a5a2-c5be6539261f,Primary Tumor,RNA-Seq
aa665c01-e3b3-4461-be3e-380acaf67152,TCGA-D5-6534-01A,a73684e4-7cf1-4e9d-83b8-a6ebebd51101,Primary Tumor,RNA-Seq
333c49cf-c42a-4b4e-ab5d-d4721236ed33,TCGA-DM-A1D8-01A,f7c33a3a-f7e2-4827-97ea-b0a2921dec08,Primary Tumor,RNA-Seq
7cd48600-354c-4545-a00d-6aa08e174128,TCGA-AD-6890-01A,77204666-6ad8-40b2-b121-601fd18bffdb,Primary Tumor,RNA-Seq
872b308f-a587-404b-ba31-69c413e51c4a,TCGA-CM-6162-01A,b9e728d2-143f-44d1-b2ee-0f6eccca507f,Primary Tumor,RNA-Seq
5b506044-ae78-4876-b690-1b91d80a5bd6,TCGA-G4-6311-01A,baac9aeb-b124-47bc-a454-4026847eb3e3,Primary Tumor,RNA-Seq
4c290680-8938-4ee7-af05-3cd4c9ad5a12,TCGA-AA-3655-11A,8c017c53-ba54-44e3-9657-e6354849a2dc,Solid Tissue Normal,RNA-Seq
40b2fc18-f53c-47c0-8918-3ee14a30c73f,TCGA-CM-5862-01A,e7390b8c-fc12-43f1-8c94-f5daf0d186f7,Primary Tumor,RNA-Seq
d6584f2c-6517-4423-b9f9-7f36d82748eb,TCGA-A6-5665-01A,4582b393-8635-4b82-871b-1fa117abfece,Primary Tumor,RNA-Seq
53932a96-ae94-474a-aa3f-082c9b549d6a,TCGA-QG-A5YW-01A,d8dce266-1073-4bf2-a714-748e7e942635,Primary Tumor,RNA-Seq
