ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
153374,"Abiotrophia defectiva","CCUG 49368","Human blood,66-yr-old man,endocarditis",Sweden,Europe,#Infection,#Patient,
153374,,,,,,#Infection,#Inflammation,
153374,,,,,,"#Host Body Product",#Fluids,#Blood
153374,,,,,,#Host,#Human,#Male
154020,"Abiotrophia defectiva","CCUG 52016","Human blood",Norway,Europe,"#Host Body Product",#Fluids,#Blood
154020,,,,,,#Host,#Human,
154929,"Abiotrophia defectiva","CCUG 55745","Human blood,67-yr-old woman",Sweden,Europe,#Infection,#Patient,
154929,,,,,,"#Host Body Product",#Fluids,#Blood
154929,,,,,,#Host,#Human,#Female
155280,"Abiotrophia defectiva","CCUG 57181","Human blood,3-yr-old male",Sweden,Europe,#Host,#Human,#Child
155280,,,,,,#Infection,#Patient,
155280,,,,,,"#Host Body Product",#Fluids,#Blood
155280,,,,,,#Host,#Human,#Male
155432,"Abiotrophia defectiva","CCUG 57749","Human hip prosthesis,70-yr-old woman",Sweden,Europe,#Infection,#Patient,
155432,,,,,,#Infection,"#Medical environment","#Medical practice"
155432,,,,,,#Host,#Human,#Female
155940,"Abiotrophia defectiva","CCUG 59700","Human blood,88-yr-old man",Sweden,Europe,#Infection,#Patient,
155940,,,,,,"#Host Body Product",#Fluids,#Blood
155940,,,,,,#Host,#Human,#Male
156779,"Abiotrophia defectiva","CCUG 65103","Human blood,1-yr-old boy",Sweden,Europe,#Host,#Human,#Child
156779,,,,,,#Infection,#Patient,
156779,,,,,,"#Host Body Product",#Fluids,#Blood
156779,,,,,,#Host,#Human,#Male
219,"Abiotrophia defectiva","DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639","Human, Blood###blood of bacterial endocarditis patient",France,Europe,"#Host Body Product",#Fluids,#Blood
219,,,,,,#Infection,#Patient,
219,,,,,,#Infection,#Inflammation,
219,,,,,,#Infection,#Disease,
219,,,,,,"#Host Body Product",#Fluids,#Blood
219,,,,,,#Infection,#Patient,
219,,,,,,#Infection,#Inflammation,
219,,,,,,#Infection,#Disease,
175515,"Absicoccus intestinalis","DSM 114836, JCM 37183","Colon of a female Aachener minipig",Germany,Europe,,,
164352,"Absicoccus porci","JCM 32769, KCTC 15747, KCTC 1574","pig faeces###Pig feces","Republic of Korea",Asia,,,
164352,,,,,,,,
159837,"Abyssibacter profundi","KCTC 52933, MCCC 1K03450, JCM 32025","From 1000m sea water###Seawater at a depth of 1000 m in the Mariana Trench###the seawater at a depth of 1000 m in the Mariana Trench at station MT1","International waters###Philippines",Asia,#Environmental,#Aquatic,#Marine
159837,,,,,,#Environmental,#Aquatic,#Marine
159837,,,,,,#Environmental,#Aquatic,#Marine
132558,"Abyssicoccus albus","DSM 29158, CCTCC AB 2014213, YIM M12140, JCM 30296","Sediment from the Indian Ocean (1° 53.375' N 81° 04.978' E) at a depth of 4,481 m###deep sea sediment","Indian Ocean",Asia,#Environmental,#Aquatic,#Sediment
132558,,,,,,#Environmental,#Aquatic,#Marine
132558,,,,,,#Environmental,#Aquatic,#Sediment
132558,,,,,,#Environmental,#Aquatic,#Marine
132478,"Vallitalea guaymasensis","DSM 29592, JCM 30920","Biofilm sampled from a black smoker chimney at the Loki###methane-producing, hydro- carbon-degrading microbial consortium enriched from a black smoker at the Loki's Castle vent field, Arctic Mid-Ocean Ridge###chimney of a deep-sea black smoker, approximately 2400 m depth","Arctic Ocean",,#Environmental,#Biofilm,
132478,,,,,,#Environmental,#Aquatic,"#Hydrothermal vent"
132478,,,,,,#Environmental,#Biofilm,
132478,,,,,,#Environmental,#Aquatic,"#Hydrothermal vent"
132478,,,,,,#Environmental,#Biofilm,
132478,,,,,,#Environmental,#Aquatic,"#Hydrothermal vent"
24718,"Acanthopleuribacter pedis","DSM 28897, KCTC 12899, NBRC 101209","From chitone, `Acanthopleura japonica`###chiton <i>Acanthopleura japonica</i>",Japan,Asia,#Host,"#Invertebrates (Other)",#Mollusca
24718,,,,,,#Host,"#Invertebrates (Other)",#Mollusca
7517,"Acaricomes phytoseiuli","DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300","Predatory mite, Phytoseiulus persimilis###From the predatory mite Phytoseiulus persimilis###predatory mite <I>Phytoseiulus persimilis</I>",Germany###Netherlands,Europe,#Host,#Arthropoda,
7517,,,,,,#Host,#Arthropoda,
7517,,,,,,#Host,#Arthropoda,
7517,,,,,,#Host,#Arthropoda,
160325,"Acerihabitans arboris","DSM 104038, KCTC 52622","Sap of plant","Republic of Korea",Asia,,,
134101,"Acetanaerobacterium elongatum","JCM 12359, AS 1.5012",wastewater,,,#Engineered,#Waste,#Wastewater
132028,"Acetanaerobacterium sp.","DSM 102114","faeces from healthy human","United Kingdom",Europe,"#Host Body Product","#Gastrointestinal tract","#Feces (Stool)"
132028,,,,,,#Host,#Human,
